sentence,label
remarkable procession of sweeping pictures ,1
"gives it that extra little something that makes it worth checking out at theaters , especially if you 're in the mood for something more comfortable than challenging ",1
to make up for the ones that do n't come off ,1
students that deals with first love sweetly but also seriously ,1
marked by acute writing and a host of splendid performances ,1
"the evocative imagery and gentle , lapping rhythms of this film ",1
clean ,1
sports extravaganza ,1
created a substantive movie out ,1
among the many pleasures ,1
"twohy 's a good yarn-spinner , ",1
may be disappointed . ,0
but here 's a movie about it anyway . ,0
the irony is that this film 's cast is uniformly superb ,1
"his collaborators ' symbolic images with his words , ",1
the observations of this social/economic/urban environment are canny and spiced with irony . ,1
wo n't score points for political correctness ,0
"simply , and surprisingly , ",1
can easily worm its way into your heart . ' ,1
"always entertaining , ",1
"like its script , which nurses plot holes gaping enough to pilot an entire olympic swim team through , the characters in swimfan seem motivated by nothing short of dull , brain-deadening hangover . ",0
"mr. polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival . ",1
a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i ,1
", this is a seriously intended movie that is not easily forgotten . ",1
a lot of charm ,1
hate it ,0
the israeli/palestinian conflict as ,0
starts with a legend ,1
persuasive ,1
the numerous scenes of gory mayhem are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1
manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves ,0
"that 's neither completely enlightening , ",0
is silly beyond comprehension ,0
", captures a life interestingly lived ",1
"is that for the most part , the film is deadly dull . ",0
a climax ,1
gave people seizures ,0
screenwriting cliches that sink it faster than a leaky freighter ,0
fear and paranoia ,0
it stinks ,0
simply intrusive ,0
enjoyable in its own right ,1
another boorish movie from the i-heard-a-joke ,0
another classic for the company ,1
"this is the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes . ",0
enchanting ,1
does n't add up to much . ,0
to see how far herzog has fallen ,0
this cliche pileup ,0
the most repugnant adaptation ,0
is genial and decent ,1
is truly gorgeous to behold . ,1
striking and ,1
overladen with plot conceits ,0
