sentence,label
A: The man is aiming a gun  B: The man is drawing a gun,2
A: A man is wearing a clear plastic cap and a mask  B: A man by a brick wall is wearing a mask around his mouth and a hair net,1
A: A woman is boiling noodles in water  B: Someone is stirring noodles in the water,1
"A: A dog, which is large and gray, is carrying a ball in its mouth and running across the grass  B: A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",1
A: A man is repairing tiles with his hands  B: A man is breaking wooden boards with his hand,1
A: Two people are carrying colorful baskets and blankets and walking near a building  B: Two people are carrying gray baskets and blankets and walking near a building,1
A: A large green ball is hitting a potato  B: A big green ball is knocking a potato,2
A: Nobody is holding a hedgehog  B: Someone is holding a hedgehog,0
A: A woman is not slicing carrots  B: A woman is cutting potatoes,1
A: Two women with dogs are walking on a forest path  B: Two dogs and two people are sitting in the woods,1
A: The man is stirring the sauce for the chicken  B: The man is cooking sauce for the meat,1
A: A person is not doing a trick on a slide  B: A snowboarder is grinding down a long concrete rail,1
A: A man is being roped before a climb  B: A man is climbing a rope,1
A: A man is pouring a plate of shredded cheese into a pot of sauce  B: A man is pouring a pot of cheese sauce into a shredded plate,1
A: The white dogs are looking curiously at the black llama  B: A black sheep is standing near three white dogs,1
"A: A child, who looks young, is standing in front of some trees  B: A small boy is standing in the forest",1
A: A person is cutting some mushrooms  B: A person is putting away the mushrooms,1
A: Five kids are standing close together and none of the kids has a gun  B: Five children are standing in front of a wooden hut,1
A: A man in a big city is holding a sign and begging for money  B: A man in a small city is doing charity work,1
A: Children are playing in a fountain that is spraying water from the ground  B: Animals are playing in fountains that spray water from the ground,1
A: The person is not going into the water  B: The man is going into the water,1
A: The man is cutting the tape on the box  B: There is no man cutting a box,1
A: A man is shaking a drink  B: A man is mowing a lawn,1
A: A large white crane is flying far above the water  B: A white bird is landing swiftly in the water,1
A: A large man is sitting in a military accessories shop  B: A large man is sitting in a military accessories store,2
A: A young occidental girl is standing above the crowd and is playing with a pinwheel  B: A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,1
A: Two men are not holding fishing poles  B: Two men are holding fishing poles,0
A: A boy is looking at a calendar  B: A boy is staring at a calendar,2
A: A boy wearing a striped shirt is running barefoot on the sandy hill  B: A girl wearing a striped shirt is running barefoot on the sandy hill,1
A: A woman is cutting broccoli  B: A man is cutting tomatoes,1
A: The horse is being ridden by a man  B: A man is parking a motorbike,1
A: Four boys are kneeling next to each other in front of a ball  B: The young boys are not posing with a green soccer ball in a park,1
A: The blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached  B: A little girl is smiling and wearing a fake nose and glasses,2
A: Someone is stirring a pot of chili with a spoon  B: Someone is stirring chili in a pot,2
A: A dog is licking a baby  B: A baby is licking a dog,1
A: A person is chopping a red onion  B: A person is chopping an onion,2
A: A large white crane is flying near the water  B: A white bird is swiftly taking off from the water,1
A: There is no man spraying a super soaker into the mouth of a dog  B: A person is chopping an onion,1
A: A man in a white hat is touching a cardboard box  B: A man in a black hat is reaching for a box,1
A: The kitten is eagerly drinking some milk from the bowl  B: One small child is greedily drinking water from the cup,1
A: A dog is being teased by a monkey at the zoo  B: A monkey is pulling a dog's tail,1
A: There is no hamster singing  B: A person is slicing some onions,1
A: A rainbow afghan is being held by a girl in gold and purple  B: A girl in gold and purple is holding a rainbow afghan,2
A: A person is slicing an onion  B: A person is cutting an onion,2
A: A skier in white is catching a tiny bit of air  B: A skier in black is catching a tiny bit of air,1
A: A puppy is repeatedly rolling from side to side on its back  B: An animal is rolling from side to side in a garden,1
A: The person is dicing up a pepper which is orange  B: The orange colored dices are being cast by a cook to win the pepper,1
A: The group of people is sitting on a rocky ledge and a scenic view is behind them  B: Four people are sitting on a low cement ledge,1
A: Five adults are sitting on a chair  B: People are sitting against a wall,1
A: A young boy is sitting in a bathing suit and waiting for the next race  B: A young swimmer is sitting in a bathing suit and waiting for the next race,2
A: A man is sprinkling shredded cheese on a pizza  B: A man is putting seasoning on a pizza,1
A: The man is playing a harp  B: A man is playing a violin,1
A: A little girl is peddling a scooter  B: A baby elephant is eating a small tree,1
A: A motorcyclist on a bike is leaning into a sharp corner  B: A man on a motorcycle is turning around a corner,2
A: A soccer player is sitting on the field and is drinking water  B: A woman is sitting on the grass and is drinking from a water bottle,1
A: A group of scouts are hiking through the grass  B: Some people are walking,2
"A: A man, a woman and two girls are walking on the beach  B: Four people are walking on the beach",2
A: The study subject is a camera man  B: The man in the purple hat is operating a camera that makes videos,1
A: A woman is preparing a skillet for the eggs  B: A woman is preparing an egg in a skillet,1
A: A small brown and white spotted dog is lying on a jacket on the street  B: The dog is having a rest in the park,1
A: The turtle is following the fish  B: A sea turtle is hunting for food,1
A: A child is experiencing a new world  B: A child is falling asleep,1
A: A person is stirring vegetables in a bowl  B: A man is mixing vegetables in a pot,1
A: A woman is carefully deboning a fish  B: A woman is deboning a fish,2
A: A man is phoning  B: A man is singing to a woman,1
A: A man and a woman are driving down the street in a jeep  B: A man and a woman are driving down the road in a car,2
A: The person is slicing onions  B: A person is peeling an onion,1
A: The man is slicing vegetables  B: There is no woman slicing a potato,1
A: A man is outside close to a target for blade throwing  B: A man is outside and is throwing blades at a close target,1
A: A brown dog and a black dog are far from the grass  B: A little black dog is chasing a little brown dog,1
A: An email is being read by a man  B: A man is reading an email,2
A: The woman is picking up the kangaroo  B: The kangaroo is picking up the woman,0
A: A man is quickly chopping some mushrooms with a knife  B: A person is quickly chopping mushrooms with a knife,2
A: A man on a motorcycle is going around a corner  B: A motorcyclist on a bike is leaning into a sharp corner,1
A: Some people who play soccer are kicking a soccer ball into the goal  B: A soccer player is scoring a goal,1
A: A man is wearing a purple shirt and black leather chaps and is posing for the camera  B: A man is not wearing a purple shirt and black leather chaps and is posing for the camera,0
A: A man is not cutting a potato  B: A man is cutting a potato,0
A: The plane is landing  B: A plane is landing,2
A: Two guys are sitting around a table and holding beers in their hands  B: A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,1
A: A man in a red uniform is swiftly making a jump in a dirt bike race  B: A man in a red uniform is making a jump in a dirt bike race,2
A: Two children are rolling in clean water  B: Two children are rolling in muddy water,1
A: Two people are kickboxing and spectators are watching  B: Two young women are not sparring in a kickboxing fight,1
